config,geometry,replication,method,grouped_loss,tail_loss
"R2 (4 groups, m=10)",linear,15,ReLexTail_0.005,0.446832507277461,0.4111814065614759
"R2 (4 groups, m=10)",linear,16,ReLexTail_0.005,0.4354504003932335,0.4369663117704163
"R2 (4 groups, m=10)",linear,17,ReLexTail_0.005,0.4527028688430714,0.39219521812337665
"R2 (4 groups, m=10)",linear,18,ReLexTail_0.005,0.46290686801441105,0.4519759634513212
"R2 (4 groups, m=10)",linear,19,ReLexTail_0.005,0.44105959435067205,0.4676066051111993
"R2 (4 groups, m=10)",linear,20,ReLexTail_0.005,0.4376447796979025,0.27758699792400204
"R2 (4 groups, m=10)",linear,21,ReLexTail_0.005,0.4389633483170037,0.5406094354722506
"R2 (4 groups, m=10)",linear,22,ReLexTail_0.005,0.4165222458098606,0.24777082270363412
"R2 (4 groups, m=10)",linear,23,ReLexTail_0.005,0.44816204663400006,0.38069655194684976
"R2 (4 groups, m=10)",linear,24,ReLexTail_0.005,0.43547141965721514,0.4677944816228249
"R2 (4 groups, m=10)",linear,25,ReLexTail_0.005,0.4235000566658803,0.3263204568669521
"R2 (4 groups, m=10)",linear,26,ReLexTail_0.005,0.45494904205640124,0.45426475872997246
"R2 (4 groups, m=10)",linear,27,ReLexTail_0.005,0.46320210976015724,0.4508863055818142
"R2 (4 groups, m=10)",linear,28,ReLexTail_0.005,0.4517447199260128,0.3716838030310179
"R2 (4 groups, m=10)",linear,29,ReLexTail_0.005,0.4304938143809875,0.4762002374321574
"R2 (4 groups, m=10)",concave,0,TOPSIS,0.6122361268590094,0.39820147798055294
"R2 (4 groups, m=10)",concave,1,TOPSIS,0.4066219704870678,0.2021323437063704
"R2 (4 groups, m=10)",concave,2,TOPSIS,0.34027964686385154,0.3190137549721151
"R2 (4 groups, m=10)",concave,3,TOPSIS,0.600862846561638,0.38456452966912996
"R2 (4 groups, m=10)",concave,4,TOPSIS,0.2322200700860478,0.03346566992126218
"R2 (4 groups, m=10)",concave,5,TOPSIS,0.3475920678319309,0.21544784158029087
"R2 (4 groups, m=10)",concave,6,TOPSIS,0.47690099027134003,0.3303018881449587
"R2 (4 groups, m=10)",concave,7,TOPSIS,0.4131711390246137,0.4310260097018919
"R2 (4 groups, m=10)",concave,8,TOPSIS,0.4364081075158104,0.3681263217301169
"R2 (4 groups, m=10)",concave,9,TOPSIS,0.49747954017482365,0.35165977554505373
"R2 (4 groups, m=10)",concave,10,TOPSIS,0.514047707924762,0.3458820989819197
"R2 (4 groups, m=10)",concave,11,TOPSIS,0.4195796938989562,0.3736351610485795
"R2 (4 groups, m=10)",concave,12,TOPSIS,0.5098991852761687,0.3649904721169679
"R2 (4 groups, m=10)",concave,13,TOPSIS,0.4185089275514345,0.3419428842243464
"R2 (4 groups, m=10)",concave,14,TOPSIS,0.49771040256668575,0.37401067272250116
"R2 (4 groups, m=10)",concave,15,TOPSIS,0.5341976557154243,0.384712193778396
"R2 (4 groups, m=10)",concave,16,TOPSIS,0.4368980206132904,0.38647995823533526
"R2 (4 groups, m=10)",concave,17,TOPSIS,0.3360357801086041,0.26015556856693994
"R2 (4 groups, m=10)",concave,18,TOPSIS,0.5833515659536629,0.40743728584495786
"R2 (4 groups, m=10)",concave,19,TOPSIS,0.4156458067291503,0.43337646432564714
"R2 (4 groups, m=10)",concave,20,TOPSIS,0.5430478047449824,0.27121938285723746
"R2 (4 groups, m=10)",concave,21,TOPSIS,0.5146122253817872,0.4030579418819585
"R2 (4 groups, m=10)",concave,22,TOPSIS,0.5221265365443323,0.3969538912894722
"R2 (4 groups, m=10)",concave,23,TOPSIS,0.5343090050084728,0.4696193171955101
"R2 (4 groups, m=10)",concave,24,TOPSIS,0.5251597128582091,0.3258725576365535
"R2 (4 groups, m=10)",concave,25,TOPSIS,0.396539543878516,0.2821211178044268
"R2 (4 groups, m=10)",concave,26,TOPSIS,0.46399271985148866,0.325812896078159
"R2 (4 groups, m=10)",concave,27,TOPSIS,0.536809955488564,0.3769223854010409
"R2 (4 groups, m=10)",concave,28,TOPSIS,0.40679988698724573,0.2810130704823703
"R2 (4 groups, m=10)",concave,29,TOPSIS,0.41006142032097337,0.39557716060844184
"R2 (4 groups, m=10)",concave,0,CP,0.6122361268590094,0.39820147798055294
"R2 (4 groups, m=10)",concave,1,CP,0.4066219704870678,0.2021323437063704
"R2 (4 groups, m=10)",concave,2,CP,0.34027964686385154,0.3190137549721151
"R2 (4 groups, m=10)",concave,3,CP,0.600862846561638,0.38456452966912996
"R2 (4 groups, m=10)",concave,4,CP,0.2322200700860478,0.03346566992126218
"R2 (4 groups, m=10)",concave,5,CP,0.3475920678319309,0.21544784158029087
"R2 (4 groups, m=10)",concave,6,CP,0.5375569563266411,0.34918242610919514
"R2 (4 groups, m=10)",concave,7,CP,0.4239245492008361,0.41676641614583537
"R2 (4 groups, m=10)",concave,8,CP,0.52884962015292,0.3785062938483954
"R2 (4 groups, m=10)",concave,9,CP,0.49747954017482365,0.35165977554505373
"R2 (4 groups, m=10)",concave,10,CP,0.514047707924762,0.3458820989819197
"R2 (4 groups, m=10)",concave,11,CP,0.5435042565940584,0.3661401530999848
"R2 (4 groups, m=10)",concave,12,CP,0.5098991852761687,0.3649904721169679
"R2 (4 groups, m=10)",concave,13,CP,0.4185089275514345,0.3419428842243464
"R2 (4 groups, m=10)",concave,14,CP,0.5582310176955775,0.4205551947381347
"R2 (4 groups, m=10)",concave,15,CP,0.5690637199828876,0.41038388618018445
"R2 (4 groups, m=10)",concave,16,CP,0.4974159034429554,0.37834534883236365
"R2 (4 groups, m=10)",concave,17,CP,0.3360357801086041,0.26015556856693994
"R2 (4 groups, m=10)",concave,18,CP,0.5833515659536629,0.40743728584495786
"R2 (4 groups, m=10)",concave,19,CP,0.5844452007683514,0.4714081144813242
"R2 (4 groups, m=10)",concave,20,CP,0.5430478047449824,0.27121938285723746
"R2 (4 groups, m=10)",concave,21,CP,0.6185917748817169,0.4260806576682798
