family,m,N,K,rho_max,margin,flip_rate,class_size
WFG2,4,150,6,0.032876679685820996,0.08421601555828681,0.0,1
WFG2,5,130,7,0.06523706495142262,0.035320138795180256,0.0,1
WFG2,9,133,11,0.06273649530467168,0.0007588692161029087,0.0,1
WFG2,6,496,8,0.05468554912243531,0.02920651592319856,0.0,1
WFG2,3,47,5,-0.05325396838156798,0.1611024221173636,0.0,1
WFG2,7,495,9,0.0215214778214296,0.0068705870953514325,0.0,1
WFG2,13,475,15,0.08778448381995003,0.019464322360137343,0.0,1
WFG2,13,141,15,0.1634035969550977,0.020365186223633147,0.0,1
WFG2,4,151,6,-0.14714766147527347,0.08040798036238317,0.0,1
WFG2,6,141,8,0.02183998588264495,0.00379791181344441,0.0,1
WFG2,8,121,10,0.0737693196560414,0.04836815840649511,0.0,1
WFG2,4,189,6,-0.16777929179527526,0.015849090036183677,0.0,1
WFG2,12,222,14,0.08517841360428888,0.01921364489031896,0.0,1
WFG2,4,131,6,-0.1287134295189498,0.05234738596885122,0.0,1
WFG2,8,132,10,0.08661264570163416,0.03623360078400839,0.15,2
WFG2,4,150,6,-0.07024781873709922,0.007821863960569747,0.0,1
WFG2,11,490,13,0.024362198750593665,0.002248234976338581,0.0,1
WFG2,8,110,10,0.11167746667360706,0.04139592158880229,0.0,1
WFG2,5,365,7,-0.029881567151189864,0.00977822465167133,0.0,1
WFG2,3,95,5,-0.23593758833065498,0.1465698546450342,0.0,1
WFG2,11,303,13,0.12361346613990597,0.06873179410546604,0.0,1
WFG2,8,151,10,0.09371068933830685,0.015570055540936434,0.0,1
WFG2,8,127,10,0.03387254655250157,0.009511953663238149,0.0,1
WFG2,15,461,17,0.062337706411706786,0.10294866078958126,0.0,1
WFG2,10,449,12,0.060162372489333774,0.02651825616292952,0.0,1
WFG2,3,144,5,-0.2721264763385232,0.017576139809320546,0.0,1
WFG2,4,169,6,-0.15861680453539279,0.04978493330232431,0.0,1
WFG2,6,349,8,-0.021520042932707054,0.00309978471783412,0.0,1
WFG2,5,369,7,0.01469012523194391,0.05256996889955112,0.0,1
WFG2,6,350,8,-0.0019084807178094722,0.030059169643725625,0.0,1
WFG2,7,195,9,0.0830549138750584,0.016740839270084185,0.0,1
WFG2,12,90,14,0.2751201989225638,0.02207879092291032,0.0,1
WFG2,14,120,16,0.10299293763726505,0.05594525457905053,0.0,1
WFG2,14,185,16,0.24832633802576404,0.003133723540128752,0.0,1
WFG2,3,105,5,-0.14337190967735128,0.0738389256992951,0.0,1
